id,prompt
87,"A portrait of a king and queen from a lost civilization, wearing intricate golden armor, fantasy"
88,"A post-apocalyptic survivor scavenging in a ruined supermarket, atmospheric, style of The Last of Us"
89,"A beautiful landscape painting of the English countryside, style of Thomas Kinkade, peaceful, warm light"
90,"A spaceship graveyard in deep space, derelict ships, eerie, sci-fi, concept art"
91,"A close-up of a dragon's eye, reflecting a fiery landscape, hyperrealistic, detailed"
92,"A city street scene in 1950s New York, classic cars, characters in period dress, photorealistic"
93,"A magical portal opening in the middle of a forest, glowing with cosmic energy, fantasy"
94,"A warrior princess riding a giant wolf, dynamic pose, fantasy, detailed illustration, by Greg Rutkowski"
95,"A floating market in a futuristic city, boats and stalls hovering over canals, vibrant, detailed"
96,"A surreal landscape where the ground is a chessboard, fantasy, minimalist"
97,"An ancient tree with a door carved into its trunk, glowing from within, enchanted, fantasy"
98,"A high-fashion model with futuristic clothing and makeup, studio portrait, photorealistic"
99,"A scene of celebration in a medieval village, festivals, dancing, vibrant, detailed illustration"
100,"A lone gunslinger in a duel at high noon in the wild west, cinematic, dramatic tension"
101,"A forgotten Art Deco city discovered deep in the Amazon jungle, overgrown with vines, fantasy concept art"
102,"A photorealistic portrait of a grizzled old sea captain with a pipe, detailed wrinkles, nautical background"
103,"A high-tech stealth bomber flying over a futuristic city at night, sci-fi, style of Syd Mead"
104,"A serene painting of a Japanese Zen garden with raked sand and bonsai trees, Ukiyo-e style"
105,"A battle-worn knight with a glowing sword, standing in a dark, misty forest, fantasy, atmospheric"
106,"A bustling cyberpunk market filled with androids and exotic alien goods, neon lighting, detailed"
107,"A minimalist architectural photo of a brutalist concrete building, high contrast, black and white"
108,"A surrealist image of a grand piano made of melting ice, in a desert, style of Salvador Dali"
109,"A cozy hobbit-hole with a round door, warm light spilling out, fantasy, detailed illustration"
110,"An astronaut discovering a vast, glowing crystal cave on a distant moon, sci-fi, sense of wonder"
111,"A warrior queen on a throne made of dragon bones, powerful, fantasy, by Greg Rutkowski"
112,"A 1930s noir detective inspecting a clue in a dimly lit alley, rain-slicked streets, cinematic"
113,"A beautiful elven queen with intricate silver filigree in her hair, Art Nouveau, by Alphonse Mucha"
114,"A colossal ancient robot half-submerged in the ocean, covered in barnacles, post-apocalyptic"
115,"A dynamic painting of a cowboy on a galloping horse, wild west, motion blur, style of Frederic Remington"
116,"A hidden library inside a giant, ancient tree, shelves filled with glowing books, fantasy"
117,"A futuristic soldier in powered armor, standing in a war-torn city, sci-fi, concept art"
118,"A peaceful watercolor of a Venetian canal at sunset, gondolas, warm colors"
119,"A dark sorcerer summoning a demon from a fiery portal, horror, fantasy, detailed illustration"
120,"A photorealistic image of a classic American muscle car on a desert highway, vintage look"
121,"A steampunk city with brass airships and clockwork towers, intricate details, fantasy"
122,"A tranquil scene of a Buddhist monk meditating before a giant statue of Buddha, atmospheric"
123,"A high-fashion model on a runway, wearing an avant-garde outfit made of light, futuristic"
124,"A giant, mythical griffin soaring through dramatic clouds, fantasy, epic scale"
125,"A pixel art animation of a knight fighting a slime in a dungeon, 8-bit, retro RPG style"
126,"A detailed illustration of a medieval castle under siege, catapults, armies, historical"
127,"A lone scientist working in a high-tech laboratory, surrounded by holographic interfaces, sci-fi"
128,"A beautiful painting of a field of sunflowers, impressionist style, by Monet"
129,"A post-apocalyptic scavenger with a cybernetic arm, exploring a ruined city, concept art"
130,"A majestic white wolf howling at a full moon in a snowy forest, atmospheric, fantasy"
131,"A city in a giant glass dome at the bottom of the ocean, bioluminescent, sci-fi, fantasy"
132,"A portrait of a 1920s flapper girl at a glamorous party, Art Deco style"
133,"A massive spaceship entering a wormhole, bending space and time, sci-fi, abstract"
134,"A fantasy cartographer drawing a map in a candle-lit study, detailed, warm lighting"
135,"A photorealistic close-up of a hummingbird in flight, capturing the motion of its wings"
136,"A dark, gothic cathedral with towering spires and gargoyles, moody, atmospheric"
137,"A group of adventurers traversing a narrow rope bridge over a deep chasm, fantasy, dynamic"
138,"A sleek, minimalist kitchen in a futuristic apartment, clean lines, sci-fi interior design"
139,"A powerful barbarian warrior with a giant axe, standing on a pile of skulls, fantasy, by Frank Frazetta"
140,"A whimsical painting of a town where all the buildings are shaped like musical instruments"
141,"A cyberpunk hacker jacked into the matrix, streams of code flowing around them, sci-fi"
142,"A serene image of a canoe on a perfectly still lake, reflecting the mountains, photorealistic"
143,"A mad scientist's laboratory, bubbling beakers, electrical arcs, vintage horror style"
144,"A beautiful mermaid with iridescent scales, sitting on a rock, fantasy, detailed illustration"
145,"A Roman legion marching through a forest, historical, detailed armor, cinematic"
146,"A futuristic vertical farm inside a skyscraper, lush greenery, sci-fi, sustainable future"
147,"A knight kneeling before a king and queen in a grand throne room, medieval, fantasy"
148,"A surreal landscape where the sky is filled with floating whales, fantasy, dreamlike"
149,"A detailed architectural drawing of a futuristic skyscraper, blueprint style"
150,"A warrior fighting a hydra, fantasy, epic battle, style of Greek mythology"
151,"A photorealistic render of a vintage typewriter, close-up on the keys, nostalgic"
152,"A secret agent rappelling down the side of a glass skyscraper at night, action scene"
153,"A beautiful geisha in a kimono, walking through a bamboo forest, traditional Japanese art"
154,"A post-apocalyptic city reclaimed by nature, vines covering skyscrapers, concept art"
155,"A wizard's duel, casting powerful spells of fire and ice, fantasy, dynamic"
156,"A tranquil tropical beach with white sand and turquoise water, photorealistic, paradise"
157,"A steampunk submarine exploring a deep-sea trench, bioluminescent creatures, Jules Verne style"
158,"A portrait of a Native American chief in full headdress, powerful, historical, detailed"
159,"A city floating in the sky, held up by giant crystals, fantasy, sci-fi"
160,"A close-up of a bee on a flower, macro photography, detailed, vibrant colors"
161,"A haunted forest with twisted, grasping trees and glowing eyes in the dark, horror"
162,"A grand library with a spiral staircase, filled with endless books, fantasy, academic"
163,"A samurai warrior in full armor, meditating under a cherry blossom tree, historical, peaceful"
164,"A futuristic police car in a high-speed chase, sci-fi, Blade Runner aesthetic"
165,"A painting of a Dutch windmill in a field of tulips, traditional, vibrant colors"
166,"A giant, ancient golem made of stone and vines, awakening in a forest, fantasy"
167,"A glamorous movie premiere in 1950s Hollywood, classic cars, paparazzi, vintage"
168,"A lone astronaut on an alien planet with strange, towering flora, sci-fi, exploration"
169,"A dark fantasy castle on a cliff, overlooking a stormy sea, gothic, atmospheric"
170,"A detailed illustration of the solar system, planets and orbits, educational, scientific"
171,"A cyberpunk street food stall, steam, neon signs, detailed characters, sci-fi"
172,"A beautiful fairy with butterfly wings, in an enchanted forest, fantasy, ethereal"
173,"A gladiator fighting a lion in the Roman Colosseum, historical, action scene"
174,"A surreal image of a staircase leading up into the clouds, dreamlike, minimalist"
175,"A photorealistic painting of a bowl of fruit, still life, style of the old masters"
176,"A team of explorers discovering a lost temple in the jungle, adventure, fantasy"
177,"A futuristic cityscape at sunrise, sleek towers, hopeful, sci-fi"
178,"A powerful sorceress controlling the weather, summoning lightning, fantasy, epic"
179,"A vintage train traveling through a snowy mountain pass, atmospheric, nostalgic"
180,"A mechanical owl with glowing eyes, steampunk, intricate gears, detailed"
181,"A beautiful landscape of the Scottish Highlands, misty mountains, photorealistic"
182,"A secret meeting of spies in a dimly lit, smoky bar, noir, 1960s Cold War era"
183,"A fantasy blacksmith forging a magical sword, sparks, intense heat, detailed"
184,"A city on the back of a giant, flying whale, fantasy, whimsical, detailed illustration"
185,"A close-up portrait of a robot with human-like emotions, sci-fi, thought-provoking"
186,"A grand masquerade ball in a Venetian palace, elegant masks, historical, detailed"
187,"A post-apocalyptic warrior riding a cybernetic horse, sci-fi, fantasy, concept art"
188,"A tranquil painting of a cabin by a lake in autumn, reflections, warm colors"
189,"A battle between angels and demons in the sky, fantasy, epic, religious"
190,"A futuristic garden with holographic plants and robotic caretakers, sci-fi"
191,"A pirate captain studying a treasure map in his cabin, detailed, adventurous"
192,"A beautiful woman's face merging with a galaxy, surreal, cosmic, abstract"
193,"A medieval village festival, cheerful people, folk music, vibrant, historical"
194,"A lone wolf looking over a vast, frozen tundra, atmospheric, wildlife photography"
195,"A cyberpunk operating room, surgeons with robotic arms, sci-fi, high-tech"
196,"A majestic pegasus flying through a rainbow, fantasy, whimsical"
197,"A photorealistic render of a classic vinyl record player, nostalgic, detailed"
198,"A team of astronauts on a spacewalk, repairing a satellite, Earth in the background, sci-fi"
199,"A haunted, abandoned amusement park at night, creepy, atmospheric, horror"
200,"A king giving a speech to his army before a great battle, fantasy, epic, cinematic"
201,"A detailed map of a fantasy world, with dragons, castles, and sea monsters, cartography"
202,"A futuristic Formula 1 car racing on a track that loops through a city, sci-fi, speed"
203,"A beautiful dryad becoming one with a tree, fantasy, nature, Art Nouveau"
204,"A gritty scene of a boxing match in a 1940s gym, high contrast, black and white"
205,"A colossal sandworm erupting from a desert, sci-fi, fantasy, style of Dune"
206,"A peaceful monastery carved into a cliffside, monks in meditation, serene, atmospheric"
207,"A steampunk detective examining a crime scene with a magnifying glass monocle, detailed"
208,"A photorealistic image of a drop of water creating ripples on a calm surface, macro"
209,"A floating island with a waterfall cascading into the clouds, fantasy, dreamlike"
210,"A portrait of an elegant vampire in a velvet coat, gothic, sophisticated, dark"
211,"A bustling train station in the 1930s, steam, crowds, vintage, nostalgic"
212,"A futuristic city with organic, flowing architecture, sci-fi, utopian"
213,"A warrior princess with a spear, leading a charge on a battlefield, fantasy, dynamic"
214,"A surreal painting of a forest where the trees are made of books, fantasy, academic"
215,"A close-up of a cat's eye, detailed iris, photorealistic"
216,"A secret agent on a high-speed boat chase through city canals, action, cinematic"
217,"A beautiful, intricate stained glass window in a cathedral, depicting a mythical scene"
218,"A post-apocalyptic landscape with a lone survivor and their dog, emotional, concept art"
219,"A wizard's tower on a craggy peak, lightning striking, fantasy, atmospheric"
220,"A photorealistic render of a vintage camera, detailed, nostalgic"
221,"A city street after a rainstorm, reflections on the wet pavement, peaceful, urban"
222,"A powerful centaur archer in a forest, fantasy, mythological, detailed"
223,"A grand, opulent opera house, audience in formal wear, historical, elegant"
224,"A spaceship landing on a planet with red vegetation and two moons, sci-fi, exploration"
225,"A dark fairy queen on a throne of thorns, gothic, fantasy, powerful"
226,"A detailed illustration of a classic pirate ship, sails, rigging, Jolly Roger flag"
227,"A cyberpunk ronin with a glowing katana, standing in a neon-lit alley, sci-fi"
228,"A tranquil scene of a deer drinking from a stream in a sunlit forest, wildlife"
229,"A massive, fiery dragon guarding a hoard of gold in a cave, fantasy, epic"
230,"A portrait of a Renaissance noblewoman, style of Leonardo da Vinci, historical"
231,"A futuristic city during a sandstorm, poor visibility, atmospheric, sci-fi"
232,"A whimsical treehouse village connected by rope bridges, fantasy, detailed illustration"
233,"A gladiator fighting a minotaur in an arena, fantasy, mythology, action"
234,"A surreal image of a man with a birdcage for a head, black and white, abstract"
235,"A photorealistic painting of a fresh loaf of bread and cheese, still life"
236,"A team of adventurers opening a giant, ancient stone door, fantasy, discovery"
237,"A city of the future with flying gardens and clean energy, utopian, sci-fi"
238,"A sorceress conjuring a water spirit from a lake, fantasy, elemental magic"
239,"A vintage convertible car driving along a coastal road at sunset, nostalgic, peaceful"
240,"A mechanical heart with glowing gears and tubes, steampunk, detailed"
241,"A beautiful landscape of the Grand Canyon at sunrise, photorealistic, epic scale"
242,"A clandestine meeting under a bridge at night, spies exchanging a briefcase, noir"
243,"A fantasy druid with antlers, surrounded by forest animals, nature, peaceful"
244,"A city built on the back of a colossal, sleeping giant, fantasy, whimsical"
245,"A close-up portrait of a robot looking at its own reflection, sci-fi, introspective"
246,"A grand ball in a palace, inspired by Cinderella, fantasy, romantic"
247,"A post-apocalyptic biker gang on custom motorcycles, sci-fi, Mad Max style"
248,"A tranquil painting of a Japanese temple in autumn, maple leaves, serene"
249,"A battle between a unicorn and a demon, good vs evil, fantasy, epic"
250,"A futuristic laboratory with scientists developing a cure, high-tech, hopeful"
251,"A pirate discovering a treasure chest on a deserted island, adventure, excitement"
252,"A beautiful woman's silhouette against a backdrop of a nebula, cosmic, surreal"
253,"A medieval jousting tournament, knights on horseback, historical, action"
254,"A lone fisherman in a small boat on a misty lake, atmospheric, peaceful"
255,"A cyberpunk slum, crowded, ramshackle buildings, neon signs, sci-fi"
256,"A majestic griffin resting on a mountain peak, fantasy, noble"
257,"A photorealistic render of a classic arcade machine, 80s nostalgia, detailed"
258,"An astronaut floating in the void of space, looking at a distant galaxy, sci-fi, awe"
259,"A haunted Victorian mansion with ghosts visible in the windows, horror, atmospheric"
260,"A queen leading her troops into battle, fantasy, powerful, cinematic"
261,"A detailed fantasy world map, hand-drawn style, with calligraphy"
262,"A futuristic racing pod speeding through a canyon, sci-fi, motion blur"
263,"A beautiful wood nymph with bark-like skin and leaves for hair, fantasy, nature"
264,"A gritty, black and white photo of a steelworker on a skyscraper, 1930s New York"
265,"A colossal kraken attacking a tall ship, fantasy, naval battle, epic"
266,"A peaceful monastery in the mountains, prayer flags, serene, Tibetan style"
267,"A steampunk inventor showing off a clockwork bird, detailed, whimsical"
268,"A photorealistic image of ice cubes dropping into a glass of water, splash, macro"
269,"A floating castle in the sky, surrounded by clouds, fantasy, dreamlike"
270,"A portrait of a handsome, brooding vampire, gothic, romantic, dark"
271,"A bustling marketplace in ancient Rome, senators, merchants, historical"
272,"A futuristic city with buildings that touch the clouds, sci-fi, utopian, clean"
273,"A warrior princess with a bow and arrow, in a forest, fantasy, strong"
274,"A surreal painting of a desert filled with giant, antique clocks, fantasy"
275,"A close-up of a tiger's face, intense gaze, photorealistic"
276,"A secret agent in a tuxedo, in a high-stakes poker game at a casino, cinematic"
277,"A beautiful, intricate Celtic knot design, abstract, historical"
278,"A post-apocalyptic survivor's fortified camp, defenses, gritty, concept art"
279,"A wizard casting a protection spell around a castle, fantasy, magical energy"
280,"A photorealistic render of a vintage radio, detailed, nostalgic"
281,"A city street at night, bokeh lights, urban, peaceful"
282,"A powerful female gladiator with a sword and shield, fantasy, strong"
283,"A grand, opulent ballroom with a crystal chandelier, historical, elegant"
284,"A spaceship crew on the bridge of their ship, looking at a new planet, sci-fi"
285,"A dark elf assassin with two daggers, lurking in the shadows, fantasy, stealthy"
286,"A detailed illustration of a Viking village, longhouses, ships, historical"
287,"A cyberpunk hacker with glowing cybernetic eyes, sci-fi, intense"
288,"A tranquil scene of a panda eating bamboo in a forest, wildlife"
289,"A massive, ancient dragon sleeping on a mountain of gold, fantasy, epic"
290,"A portrait of a pharaoh in ancient Egypt, historical, regal"
291,"A futuristic city in a blizzard, snow-covered skyscrapers, atmospheric, sci-fi"
292,"A whimsical village where the houses are giant mushrooms, fantasy, detailed"
293,"A hero fighting a gorgon in a ruined temple, fantasy, mythology, action"
294,"A surreal image of a man fishing in the clouds from a floating boat, dreamlike"
295,"A photorealistic painting of a stack of pancakes with syrup, still life, food"
296,"A team of adventurers finding a hidden oasis in the desert, fantasy, discovery"
297,"A city of the future with monorails and clean, white buildings, utopian, sci-fi"
298,"A sorceress commanding an army of the dead, fantasy, necromancer, epic"
299,"A vintage motorcycle parked in front of a rustic diner, nostalgic, Americana"
300,"A mechanical whale swimming through a sea of clouds, steampunk, fantasy"
301,"A beautiful landscape of the aurora borealis over a frozen lake, photorealistic"
302,"A clandestine meeting of resistance fighters in a bombed-out building, WWII, historical"
303,"A fantasy elf forging a glowing sword with magic, detailed, enchanting"
304,"A city built into the side of a giant canyon, fantasy, architectural"
305,"A close-up portrait of a robot with a single, expressive eye, sci-fi"
306,"A grand royal wedding in a cathedral, fantasy, romantic, elegant"
307,"A post-apocalyptic scavenger driving a heavily modified car, sci-fi, Mad Max style"
308,"A tranquil painting of a Japanese garden with a stone lantern, serene"
309,"A battle between a griffin and a manticore, fantasy, epic, mythological"
310,"A futuristic hospital with robotic surgeons and healing pods, high-tech, sci-fi"
311,"A pirate captain with a treasure map, looking out from his ship, adventurous"
312,"A beautiful woman's face made of swirling galaxies and stars, cosmic, abstract"
313,"A medieval fair with jugglers, minstrels, and merchants, vibrant, historical"
314,"A lone polar bear on an ice floe, atmospheric, wildlife photography"
315,"A cyberpunk data heist in progress, alarms blaring, sci-fi, action"
316,"A majestic hippogriff in flight, fantasy, noble, detailed"
317,"A photorealistic render of a classic boombox, 80s nostalgia, detailed"
318,"An astronaut on a spacewalk, tethered to the ISS, looking down at Earth, sci-fi"
319,"A haunted library with floating books and ghostly figures, horror, atmospheric"
320,"A king on his throne, passing judgment, fantasy, regal, serious"
321,"A detailed map of a pirate's treasure island, X marks the spot, cartography"
322,"A futuristic anti-gravity race, pods weaving through floating rings, sci-fi, speed"
323,"A beautiful nymph bathing in a forest spring, fantasy, nature, serene"
324,"A gritty, black and white photo of a jazz musician playing a saxophone, smoky club"
325,"A colossal Cthulhu rising from the ocean depths, horror, cosmic horror, epic"
326,"A peaceful Shaolin temple in the mountains, monks training, serene, atmospheric"
327,"A steampunk ornithopter, a flying machine with flapping wings, detailed, whimsical"
328,"A photorealistic image of a dewdrop on a blade of grass, macro, detailed"
329,"A floating marketplace in the clouds, merchants selling exotic goods, fantasy"
330,"A portrait of a handsome, charismatic pirate captain, roguish smile, detailed"
331,"A bustling street scene in Victorian London, horse-drawn carriages, gas lamps"
332,"A futuristic city with buildings shaped like giant plants, organic architecture, sci-fi"
333,"A warrior queen with a spear and shield, leading her army, fantasy, powerful"
334,"A surreal painting of a desert with a giant, single eye in the sky, fantasy"
335,"A close-up of a lion's roaring mouth, intense, photorealistic"
336,"A secret agent in a white tuxedo, at a casino in Monaco, cinematic, elegant"
337,"A beautiful, intricate mandala design, spiritual, abstract, colorful"
338,"A post-apocalyptic survivor's makeshift home inside a ruined bus, concept art"
339,"A wizard creating a magical storm over a city, fantasy, epic power"
340,"A photorealistic render of a vintage rotary phone, detailed, nostalgic"
341,"A city street at dusk, streetlights beginning to glow, urban, peaceful"
342,"A powerful female barbarian with two axes, fantasy, strong, dynamic"
343,"A grand, opulent theater with red velvet curtains, historical, elegant"
344,"A spaceship crew discovering ancient alien ruins, sci-fi, exploration, mystery"
345,"A wood elf scout perched in a tree, with a bow, fantasy, stealthy"
346,"A detailed illustration of a Japanese castle, samurai guards, historical"
347,"A cyberpunk street samurai with a cybernetic arm and a katana, sci-fi"
348,"A tranquil scene of a family of elephants at a watering hole, wildlife"
349,"A massive, three-headed dragon (hydra) breathing fire, fantasy, epic"
350,"A portrait of Queen Elizabeth I in full royal attire, historical, regal"
351,"A futuristic city under a perpetual aurora, sci-fi, atmospheric, beautiful"
352,"A whimsical village where the inhabitants are tiny fairies, fantasy, detailed"
353,"A hero fighting a cyclops in a cave, fantasy, mythology, action"
354,"A surreal image of a man walking on water, with the sky reflected below, dreamlike"
355,"A photorealistic painting of a glass of red wine, still life"
356,"A team of adventurers navigating a treacherous, lava-filled cavern, fantasy"
357,"A city of the future with personal flying vehicles and clean, green spaces, utopian"
358,"A sorceress weaving a spell from threads of light, fantasy, intricate"
359,"A vintage muscle car doing a burnout, smoke, Americana, action"
360,"A mechanical scorpion in a desert, steampunk, detailed, menacing"
361,"A beautiful landscape of the Norwegian fjords, photorealistic, epic scale"
362,"A spy thriller scene in a Cold War-era Berlin, checkpoint, tension, noir"
363,"A fantasy dwarf blacksmith with a magnificent beard, forging an axe, detailed"
364,"A city built on and around a giant, petrified dragon, fantasy, architectural"
365,"A close-up portrait of a robot questioning its existence, sci-fi, philosophical"
366,"A grand costume ball in a French palace, 18th century, historical, elegant"
367,"A post-apocalyptic nomad wrapped in tattered clothes, walking through a desert"
368,"A tranquil painting of a Japanese koi pond, colorful fish, serene"
369,"A battle between a pegasus and a manticore in the sky, fantasy, epic"
370,"A futuristic operating room with a holographic patient display, high-tech, sci-fi"
371,"A pirate first mate with a parrot on his shoulder, on the deck of a ship"
372,"A beautiful woman's face dissolving into a flock of birds, surreal, abstract"
373,"A medieval harvest festival, villagers celebrating, vibrant, historical"
374,"A lone arctic fox in a snowstorm, atmospheric, wildlife photography"
375,"A cyberpunk gang having a standoff in a neon-lit alley, sci-fi, tension"
376,"A majestic sphinx guarding the entrance to a pyramid, fantasy, mythological"
377,"A photorealistic render of a classic Nintendo controller, 80s nostalgia"
378,"An astronaut doing a flip in zero gravity, inside a space station, sci-fi"
379,"A haunted, abandoned hospital, creepy, atmospheric, horror"
380,"A queen inspecting her troops before a battle, fantasy, regal, determined"
381,"A detailed fantasy map showing a 'here be dragons' section, cartography"
382,"A futuristic jet bike race through a futuristic metropolis, sci-fi, speed"
383,"A beautiful mermaid princess with a crown of shells, fantasy, underwater"
